"Friday_of_Week","NFCI","ANFCI","Risk","Credit","Leverage","Nonfinancial Leverage","Detrended Credit-to-GDP Ratio"
"03/27/2015","-0.56","-0.56","-0.59","-0.14","-0.12","-1.04","-0.96"
"04/03/2015","-0.57","-0.57","-0.6","-0.14","-0.11","-1.03",""
"04/10/2015","-0.57","-0.58","-0.6","-0.14","-0.1","-1.03",""
"04/17/2015","-0.57","-0.58","-0.6","-0.15","-0.09","-1.02",""
"04/24/2015","-0.57","-0.57","-0.6","-0.15","-0.08","-1.02",""
"05/01/2015","-0.57","-0.56","-0.6","-0.15","-0.08","-1.01",""
"05/08/2015","-0.57","-0.55","-0.6","-0.15","-0.07","-1.01",""
"05/15/2015","-0.57","-0.55","-0.59","-0.15","-0.08","-1",""
"05/22/2015","-0.57","-0.55","-0.59","-0.15","-0.08","-1",""
"05/29/2015","-0.57","-0.56","-0.59","-0.15","-0.08","-1",""
"06/05/2015","-0.56","-0.56","-0.58","-0.15","-0.09","-1",""
"06/12/2015","-0.56","-0.56","-0.58","-0.14","-0.1","-0.99",""
"06/19/2015","-0.56","-0.56","-0.58","-0.13","-0.1","-0.99",""
"06/26/2015","-0.55","-0.55","-0.58","-0.13","-0.1","-0.99","-0.93"
"07/03/2015","-0.55","-0.54","-0.58","-0.12","-0.1","-0.99",""
"07/10/2015","-0.54","-0.53","-0.59","-0.1","-0.1","-0.99",""
"07/17/2015","-0.54","-0.53","-0.59","-0.09","-0.08","-0.99",""
"07/24/2015","-0.53","-0.53","-0.59","-0.07","-0.06","-0.98",""
"07/31/2015","-0.51","-0.52","-0.59","-0.05","-0.04","-0.98",""
"08/07/2015","-0.49","-0.49","-0.58","-0.03","-0.01","-0.98",""
"08/14/2015","-0.47","-0.47","-0.56","-0","0.02","-0.98",""
"08/21/2015","-0.44","-0.44","-0.55","0.02","0.06","-0.97",""
"08/28/2015","-0.42","-0.41","-0.53","0.03","0.09","-0.97",""
"09/04/2015","-0.4","-0.39","-0.52","0.05","0.11","-0.97",""
"09/11/2015","-0.4","-0.38","-0.52","0.05","0.13","-0.96",""
"09/18/2015","-0.4","-0.38","-0.53","0.06","0.14","-0.96",""
"09/25/2015","-0.41","-0.39","-0.54","0.06","0.14","-0.95",""
"10/02/2015","-0.42","-0.4","-0.56","0.05","0.14","-0.95","-0.89"
"10/09/2015","-0.44","-0.41","-0.59","0.04","0.13","-0.94",""
"10/16/2015","-0.46","-0.42","-0.61","0.04","0.12","-0.93",""
"10/23/2015","-0.48","-0.44","-0.63","0.03","0.1","-0.93",""
"10/30/2015","-0.49","-0.45","-0.65","0.03","0.09","-0.92",""
"11/06/2015","-0.49","-0.45","-0.66","0.04","0.07","-0.91",""
"11/13/2015","-0.49","-0.45","-0.67","0.05","0.05","-0.9",""
"11/20/2015","-0.48","-0.44","-0.67","0.06","0.03","-0.89",""
"11/27/2015","-0.46","-0.42","-0.65","0.08","0.02","-0.89",""
"12/04/2015","-0.44","-0.39","-0.64","0.11","0.01","-0.88",""
"12/11/2015","-0.42","-0.36","-0.62","0.13","0","-0.87",""
"12/18/2015","-0.39","-0.33","-0.6","0.16","0.01","-0.86",""
"12/25/2015","-0.37","-0.3","-0.58","0.19","0.01","-0.85",""
"01/01/2016","-0.35","-0.28","-0.57","0.21","0.03","-0.84","-0.83"
"01/08/2016","-0.33","-0.27","-0.56","0.24","0.04","-0.83",""
"01/15/2016","-0.31","-0.26","-0.55","0.26","0.06","-0.82",""
"01/22/2016","-0.29","-0.25","-0.55","0.28","0.08","-0.81",""
"01/29/2016","-0.28","-0.24","-0.55","0.3","0.09","-0.8",""
"02/05/2016","-0.28","-0.22","-0.55","0.3","0.11","-0.8",""
"02/12/2016","-0.28","-0.21","-0.56","0.3","0.12","-0.79",""
"02/19/2016","-0.29","-0.21","-0.56","0.28","0.13","-0.79",""
"02/26/2016","-0.31","-0.23","-0.57","0.26","0.14","-0.78",""
"03/04/2016","-0.33","-0.25","-0.58","0.23","0.14","-0.78",""
"03/11/2016","-0.36","-0.28","-0.59","0.2","0.14","-0.77",""
"03/18/2016","-0.38","-0.29","-0.6","0.17","0.14","-0.77",""
"03/25/2016","-0.39","-0.29","-0.6","0.15","0.13","-0.77",""
"04/01/2016","-0.4","-0.29","-0.6","0.13","0.12","-0.77","-0.76"
"04/08/2016","-0.4","-0.27","-0.59","0.12","0.1","-0.77",""
"04/15/2016","-0.4","-0.26","-0.59","0.12","0.09","-0.77",""
"04/22/2016","-0.4","-0.25","-0.58","0.12","0.07","-0.77",""
"04/29/2016","-0.4","-0.25","-0.58","0.12","0.06","-0.76",""
"05/06/2016","-0.4","-0.24","-0.57","0.13","0.05","-0.76",""
"05/13/2016","-0.39","-0.25","-0.57","0.13","0.04","-0.76",""
"05/20/2016","-0.39","-0.25","-0.57","0.14","0.04","-0.76",""
"05/27/2016","-0.38","-0.25","-0.56","0.14","0.05","-0.76",""
"06/03/2016","-0.38","-0.25","-0.56","0.15","0.06","-0.76",""
"06/10/2016","-0.37","-0.25","-0.55","0.15","0.08","-0.76",""
"06/17/2016","-0.36","-0.24","-0.54","0.15","0.09","-0.75",""
"06/24/2016","-0.35","-0.23","-0.54","0.15","0.11","-0.75",""
"07/01/2016","-0.35","-0.23","-0.53","0.15","0.12","-0.75","-0.6"
"07/08/2016","-0.35","-0.23","-0.53","0.14","0.13","-0.75",""
"07/15/2016","-0.36","-0.24","-0.52","0.13","0.13","-0.75",""
"07/22/2016","-0.37","-0.25","-0.51","0.11","0.13","-0.74",""
"07/29/2016","-0.37","-0.26","-0.5","0.1","0.12","-0.74",""
"08/05/2016","-0.37","-0.26","-0.49","0.09","0.12","-0.74",""
"08/12/2016","-0.37","-0.26","-0.48","0.08","0.1","-0.74",""
"08/19/2016","-0.37","-0.25","-0.47","0.08","0.09","-0.74",""
"08/26/2016","-0.37","-0.23","-0.46","0.09","0.08","-0.73",""
"09/02/2016","-0.36","-0.21","-0.46","0.1","0.06","-0.73",""
"09/09/2016","-0.35","-0.2","-0.45","0.11","0.04","-0.73",""
"09/16/2016","-0.34","-0.19","-0.45","0.11","0.02","-0.73",""
"09/23/2016","-0.34","-0.18","-0.45","0.12","0.01","-0.73",""
"09/30/2016","-0.34","-0.19","-0.45","0.13","-0.02","-0.73","-0.63"
"10/07/2016","-0.34","-0.2","-0.46","0.13","-0.05","-0.73",""
"10/14/2016","-0.35","-0.21","-0.47","0.12","-0.08","-0.73",""
"10/21/2016","-0.36","-0.23","-0.48","0.12","-0.12","-0.72",""
"10/28/2016","-0.38","-0.25","-0.49","0.11","-0.16","-0.72",""
"11/04/2016","-0.39","-0.28","-0.5","0.1","-0.21","-0.72",""
"11/11/2016","-0.41","-0.32","-0.51","0.08","-0.26","-0.72",""
"11/18/2016","-0.42","-0.35","-0.52","0.07","-0.3","-0.72",""
"11/25/2016","-0.44","-0.36","-0.52","0.06","-0.35","-0.71",""
"12/02/2016","-0.45","-0.37","-0.52","0.04","-0.38","-0.71",""
"12/09/2016","-0.46","-0.37","-0.52","0.03","-0.41","-0.71",""
"12/16/2016","-0.47","-0.36","-0.52","0.02","-0.42","-0.7",""
"12/23/2016","-0.47","-0.36","-0.52","0.01","-0.43","-0.7",""
"12/30/2016","-0.48","-0.35","-0.52","-0.01","-0.43","-0.69","-0.61"
"01/06/2017","-0.48","-0.35","-0.51","-0.02","-0.42","-0.69",""
"01/13/2017","-0.49","-0.35","-0.51","-0.03","-0.41","-0.69",""
"01/20/2017","-0.49","-0.35","-0.51","-0.04","-0.39","-0.68",""
"01/27/2017","-0.49","-0.34","-0.51","-0.05","-0.37","-0.68",""
"02/03/2017","-0.49","-0.34","-0.51","-0.05","-0.35","-0.67",""
"02/10/2017","-0.49","-0.34","-0.51","-0.06","-0.32","-0.67",""
"02/17/2017","-0.49","-0.34","-0.51","-0.06","-0.3","-0.67",""
"02/24/2017","-0.49","-0.34","-0.51","-0.06","-0.27","-0.66",""
"03/03/2017","-0.49","-0.35","-0.51","-0.05","-0.25","-0.66",""
"03/10/2017","-0.48","-0.35","-0.51","-0.05","-0.23","-0.66",""
"03/17/2017","-0.48","-0.36","-0.52","-0.04","-0.21","-0.65",""
"03/24/2017","-0.48","-0.36","-0.52","-0.04","-0.19","-0.65",""
"03/31/2017","-0.48","-0.36","-0.52","-0.04","-0.17","-0.65","-0.7"
"04/07/2017","-0.48","-0.37","-0.53","-0.04","-0.15","-0.65",""
"04/14/2017","-0.48","-0.38","-0.54","-0.04","-0.13","-0.65",""
"04/21/2017","-0.49","-0.38","-0.55","-0.04","-0.12","-0.65",""
"04/28/2017","-0.5","-0.39","-0.57","-0.05","-0.11","-0.64",""
"05/05/2017","-0.51","-0.4","-0.59","-0.05","-0.1","-0.64",""
"05/12/2017","-0.52","-0.41","-0.61","-0.05","-0.1","-0.64",""
"05/19/2017","-0.53","-0.43","-0.63","-0.05","-0.09","-0.64",""
"05/26/2017","-0.54","-0.44","-0.64","-0.06","-0.1","-0.64",""
"06/02/2017","-0.55","-0.45","-0.65","-0.06","-0.1","-0.64",""
"06/09/2017","-0.56","-0.45","-0.66","-0.07","-0.11","-0.64",""
"06/16/2017","-0.56","-0.45","-0.66","-0.08","-0.12","-0.63",""
"06/23/2017","-0.57","-0.45","-0.66","-0.09","-0.13","-0.63",""
"06/30/2017","-0.57","-0.45","-0.66","-0.09","-0.13","-0.63","-0.62"
"07/07/2017","-0.58","-0.46","-0.66","-0.1","-0.14","-0.63",""
"07/14/2017","-0.58","-0.48","-0.66","-0.11","-0.14","-0.63",""
"07/21/2017","-0.58","-0.49","-0.66","-0.11","-0.14","-0.62",""
"07/28/2017","-0.58","-0.49","-0.65","-0.11","-0.14","-0.62",""
"08/04/2017","-0.58","-0.47","-0.65","-0.11","-0.13","-0.62",""
"08/11/2017","-0.57","-0.45","-0.65","-0.1","-0.13","-0.62",""
"08/18/2017","-0.57","-0.43","-0.64","-0.1","-0.13","-0.62",""
"08/25/2017","-0.56","-0.42","-0.64","-0.1","-0.13","-0.62",""
"09/01/2017","-0.56","-0.41","-0.64","-0.1","-0.13","-0.61",""
"09/08/2017","-0.56","-0.41","-0.64","-0.1","-0.13","-0.61",""
"09/15/2017","-0.56","-0.43","-0.64","-0.1","-0.14","-0.61",""
"09/22/2017","-0.57","-0.44","-0.64","-0.11","-0.15","-0.61",""
"09/29/2017","-0.58","-0.45","-0.64","-0.12","-0.16","-0.61","-0.54"
"10/06/2017","-0.59","-0.47","-0.64","-0.12","-0.17","-0.61",""
"10/13/2017","-0.59","-0.49","-0.65","-0.13","-0.19","-0.61",""
"10/20/2017","-0.6","-0.51","-0.66","-0.14","-0.2","-0.61",""
"10/27/2017","-0.61","-0.54","-0.67","-0.14","-0.22","-0.61",""
"11/03/2017","-0.61","-0.56","-0.68","-0.14","-0.23","-0.61",""
"11/10/2017","-0.62","-0.58","-0.69","-0.13","-0.24","-0.62",""
"11/17/2017","-0.62","-0.58","-0.7","-0.13","-0.25","-0.62",""
"11/24/2017","-0.62","-0.59","-0.7","-0.13","-0.26","-0.62",""
"12/01/2017","-0.62","-0.58","-0.71","-0.12","-0.26","-0.62",""
"12/08/2017","-0.62","-0.58","-0.71","-0.12","-0.26","-0.62",""
"12/15/2017","-0.63","-0.59","-0.71","-0.13","-0.26","-0.63",""
"12/22/2017","-0.63","-0.6","-0.72","-0.13","-0.26","-0.63",""
"12/29/2017","-0.63","-0.61","-0.72","-0.13","-0.26","-0.63","-0.59"
"01/05/2018","-0.64","-0.62","-0.71","-0.14","-0.26","-0.63",""
"01/12/2018","-0.64","-0.62","-0.71","-0.14","-0.26","-0.63",""
"01/19/2018","-0.63","-0.62","-0.69","-0.15","-0.26","-0.63",""
"01/26/2018","-0.62","-0.6","-0.67","-0.14","-0.27","-0.63",""
"02/02/2018","-0.6","-0.58","-0.64","-0.14","-0.28","-0.63",""
"02/09/2018","-0.58","-0.55","-0.62","-0.13","-0.29","-0.63",""
"02/16/2018","-0.56","-0.53","-0.59","-0.12","-0.3","-0.62",""
"02/23/2018","-0.55","-0.52","-0.57","-0.1","-0.32","-0.62",""
"03/02/2018","-0.53","-0.5","-0.54","-0.09","-0.34","-0.61",""
"03/09/2018","-0.52","-0.48","-0.53","-0.08","-0.35","-0.61",""
"03/16/2018","-0.5","-0.47","-0.51","-0.07","-0.37","-0.6",""
"03/23/2018","-0.49","-0.45","-0.5","-0.07","-0.37","-0.59",""
"03/30/2018","-0.49","-0.43","-0.49","-0.06","-0.38","-0.58","-0.65"
"04/06/2018","-0.49","-0.42","-0.5","-0.06","-0.37","-0.57",""
"04/13/2018","-0.5","-0.43","-0.51","-0.07","-0.36","-0.56",""
"04/20/2018","-0.51","-0.44","-0.53","-0.07","-0.35","-0.55",""
"04/27/2018","-0.53","-0.46","-0.54","-0.08","-0.32","-0.54",""
"05/04/2018","-0.54","-0.48","-0.56","-0.09","-0.29","-0.54",""
"05/11/2018","-0.55","-0.5","-0.58","-0.09","-0.25","-0.53",""
"05/18/2018","-0.55","-0.5","-0.59","-0.09","-0.2","-0.52",""
"05/25/2018","-0.55","-0.5","-0.59","-0.1","-0.15","-0.51",""
"06/01/2018","-0.54","-0.49","-0.59","-0.1","-0.1","-0.51",""
"06/08/2018","-0.54","-0.48","-0.59","-0.1","-0.05","-0.5",""
"06/15/2018","-0.53","-0.47","-0.58","-0.1","-0","-0.5",""
"06/22/2018","-0.52","-0.46","-0.58","-0.1","0.03","-0.5",""
"06/29/2018","-0.52","-0.45","-0.58","-0.1","0.06","-0.49","-0.76"
"07/06/2018","-0.52","-0.46","-0.58","-0.1","0.08","-0.49",""
"07/13/2018","-0.53","-0.47","-0.59","-0.1","0.09","-0.49",""
"07/20/2018","-0.54","-0.49","-0.61","-0.11","0.1","-0.48",""
"07/27/2018","-0.55","-0.5","-0.62","-0.11","0.11","-0.48",""
"08/03/2018","-0.56","-0.52","-0.64","-0.11","0.11","-0.48",""
"08/10/2018","-0.57","-0.53","-0.66","-0.12","0.12","-0.48",""
"08/17/2018","-0.58","-0.54","-0.67","-0.12","0.12","-0.48",""
"08/24/2018","-0.58","-0.55","-0.68","-0.12","0.13","-0.47",""
"08/31/2018","-0.59","-0.56","-0.69","-0.12","0.15","-0.47",""
"09/07/2018","-0.59","-0.57","-0.7","-0.13","0.16","-0.47",""
"09/14/2018","-0.59","-0.58","-0.7","-0.13","0.17","-0.47",""
"09/21/2018","-0.59","-0.58","-0.69","-0.13","0.19","-0.46",""
"09/28/2018","-0.58","-0.58","-0.69","-0.13","0.2","-0.46","-0.64"
"10/05/2018","-0.57","-0.57","-0.67","-0.12","0.21","-0.46",""
"10/12/2018","-0.56","-0.56","-0.66","-0.12","0.22","-0.45",""
"10/19/2018","-0.55","-0.54","-0.64","-0.11","0.22","-0.45",""
"10/26/2018","-0.53","-0.53","-0.62","-0.09","0.23","-0.44",""
"11/02/2018","-0.51","-0.53","-0.6","-0.08","0.23","-0.44",""
"11/09/2018","-0.5","-0.52","-0.59","-0.06","0.24","-0.43",""
"11/16/2018","-0.48","-0.51","-0.57","-0.04","0.24","-0.43",""
"11/23/2018","-0.45","-0.48","-0.55","-0.01","0.25","-0.43",""
"11/30/2018","-0.43","-0.45","-0.54","0.01","0.26","-0.42",""
"12/07/2018","-0.41","-0.42","-0.52","0.03","0.26","-0.42",""
"12/14/2018","-0.39","-0.4","-0.51","0.04","0.26","-0.41",""
"12/21/2018","-0.38","-0.39","-0.51","0.05","0.25","-0.41",""
"12/28/2018","-0.39","-0.4","-0.51","0.05","0.23","-0.4","-0.64"
"01/04/2019","-0.4","-0.41","-0.52","0.04","0.21","-0.4",""
"01/11/2019","-0.43","-0.43","-0.54","0.02","0.19","-0.4",""
"01/18/2019","-0.45","-0.44","-0.56","0","0.16","-0.39",""
"01/25/2019","-0.48","-0.46","-0.59","-0.02","0.13","-0.39",""
"02/01/2019","-0.51","-0.48","-0.61","-0.04","0.11","-0.39",""
"02/08/2019","-0.53","-0.49","-0.64","-0.06","0.09","-0.38",""
"02/15/2019","-0.55","-0.52","-0.66","-0.07","0.07","-0.38",""
"02/22/2019","-0.57","-0.54","-0.68","-0.08","0.05","-0.38",""
"03/01/2019","-0.58","-0.55","-0.7","-0.08","0.03","-0.38",""
"03/08/2019","-0.58","-0.56","-0.71","-0.08","0.02","-0.38",""
"03/15/2019","-0.59","-0.56","-0.72","-0.09","0.01","-0.38",""
"03/22/2019","-0.59","-0.56","-0.72","-0.09","-0","-0.38",""
"03/29/2019","-0.59","-0.56","-0.73","-0.09","-0.01","-0.39","-0.57"
"04/05/2019","-0.6","-0.57","-0.73","-0.09","-0.02","-0.39",""
"04/12/2019","-0.6","-0.58","-0.73","-0.09","-0.03","-0.39",""
"04/19/2019","-0.61","-0.58","-0.74","-0.09","-0.04","-0.4",""
"04/26/2019","-0.61","-0.59","-0.74","-0.09","-0.04","-0.4",""
"05/03/2019","-0.6","-0.59","-0.74","-0.09","-0.04","-0.4",""
"05/10/2019","-0.59","-0.58","-0.73","-0.08","-0.04","-0.41",""
"05/17/2019","-0.59","-0.57","-0.73","-0.07","-0.03","-0.41",""
"05/24/2019","-0.58","-0.57","-0.73","-0.06","-0.03","-0.42",""
"05/31/2019","-0.57","-0.56","-0.72","-0.05","-0.02","-0.42",""
"06/07/2019","-0.56","-0.55","-0.72","-0.05","-0.01","-0.43",""
"06/14/2019","-0.56","-0.55","-0.71","-0.05","0","-0.44",""
"06/21/2019","-0.56","-0.55","-0.72","-0.05","0.01","-0.44",""
"06/28/2019","-0.57","-0.55","-0.72","-0.05","0.02","-0.45","-0.53"
"07/05/2019","-0.57","-0.56","-0.72","-0.05","0.03","-0.46",""
"07/12/2019","-0.57","-0.56","-0.73","-0.05","0.04","-0.47",""
"07/19/2019","-0.57","-0.57","-0.73","-0.05","0.05","-0.47",""
"07/26/2019","-0.57","-0.57","-0.73","-0.05","0.06","-0.48",""
"08/02/2019","-0.56","-0.56","-0.72","-0.04","0.07","-0.49",""
"08/09/2019","-0.55","-0.54","-0.71","-0.03","0.08","-0.49",""
"08/16/2019","-0.54","-0.52","-0.7","-0.02","0.09","-0.5",""
"08/23/2019","-0.53","-0.51","-0.69","-0.01","0.1","-0.5",""
"08/30/2019","-0.52","-0.5","-0.68","-0","0.11","-0.51",""
"09/06/2019","-0.51","-0.51","-0.67","0","0.12","-0.51",""
"09/13/2019","-0.51","-0.52","-0.66","0.01","0.12","-0.52",""
"09/20/2019","-0.5","-0.53","-0.66","0.01","0.12","-0.52",""
"09/27/2019","-0.5","-0.52","-0.65","0","0.12","-0.52","-0.63"
"10/04/2019","-0.5","-0.51","-0.65","-0","0.12","-0.52",""
"10/11/2019","-0.5","-0.5","-0.65","-0.01","0.11","-0.53",""
"10/18/2019","-0.51","-0.5","-0.66","-0.02","0.11","-0.53",""
"10/25/2019","-0.53","-0.51","-0.68","-0.03","0.1","-0.53",""
"11/01/2019","-0.54","-0.53","-0.69","-0.04","0.1","-0.53",""
"11/08/2019","-0.56","-0.55","-0.7","-0.05","0.09","-0.53",""
"11/15/2019","-0.56","-0.56","-0.71","-0.05","0.1","-0.52",""
"11/22/2019","-0.57","-0.55","-0.71","-0.05","0.1","-0.52",""
"11/29/2019","-0.56","-0.53","-0.7","-0.06","0.11","-0.52",""
"12/06/2019","-0.55","-0.51","-0.68","-0.06","0.12","-0.51",""
"12/13/2019","-0.54","-0.49","-0.67","-0.06","0.14","-0.51",""
"12/20/2019","-0.53","-0.49","-0.66","-0.07","0.15","-0.5",""
"12/27/2019","-0.53","-0.5","-0.67","-0.08","0.16","-0.5","-0.69"
"01/03/2020","-0.55","-0.51","-0.68","-0.09","0.17","-0.5",""
"01/10/2020","-0.57","-0.51","-0.71","-0.11","0.19","-0.49",""
"01/17/2020","-0.59","-0.52","-0.74","-0.12","0.2","-0.49",""
"01/24/2020","-0.61","-0.54","-0.76","-0.13","0.22","-0.48",""
"01/31/2020","-0.62","-0.57","-0.76","-0.12","0.25","-0.48",""
"02/07/2020","-0.61","-0.6","-0.73","-0.1","0.28","-0.48",""
"02/14/2020","-0.56","-0.6","-0.66","-0.05","0.33","-0.48",""
"02/21/2020","-0.46","-0.54","-0.55","0.03","0.38","-0.48",""
"02/28/2020","-0.31","-0.4","-0.4","0.15","0.43","-0.48",""
"03/06/2020","-0.12","-0.17","-0.23","0.28","0.49","-0.48",""
"03/13/2020","0.07","0.09","-0.06","0.43","0.55","-0.48",""
"03/20/2020","0.25","0.34","0.09","0.56","0.59","-0.48",""
"03/27/2020","0.36","0.49","0.18","0.66","0.63","-0.48","-0.77"
"04/03/2020","0.41","0.53","0.2","0.73","0.65","-0.48",""
"04/10/2020","0.4","0.47","0.17","0.76","0.65","-0.48",""
"04/17/2020","0.33","0.36","0.08","0.75","0.65","-0.48",""
"04/24/2020","0.24","0.24","-0.03","0.71","0.63","-0.48",""
"05/01/2020","0.13","0.12","-0.16","0.64","0.6","-0.48",""
"05/08/2020","0.01","0.01","-0.28","0.56","0.57","-0.48",""
"05/15/2020","-0.09","-0.09","-0.38","0.48","0.52","-0.49",""
"05/22/2020","-0.18","-0.2","-0.46","0.39","0.47","-0.49",""
"05/29/2020","-0.24","-0.31","-0.51","0.31","0.42","-0.5",""
"06/05/2020","-0.29","-0.41","-0.54","0.25","0.37","-0.5",""
"06/12/2020","-0.33","-0.47","-0.55","0.2","0.33","-0.51",""
"06/19/2020","-0.35","-0.5","-0.56","0.16","0.29","-0.53",""
"06/26/2020","-0.37","-0.52","-0.56","0.13","0.26","-0.54","-0.03"
"07/03/2020","-0.39","-0.53","-0.57","0.11","0.23","-0.56",""
"07/10/2020","-0.41","-0.56","-0.59","0.09","0.22","-0.59",""
"07/17/2020","-0.43","-0.58","-0.6","0.06","0.22","-0.62",""
"07/24/2020","-0.46","-0.61","-0.62","0.04","0.22","-0.65",""
"07/31/2020","-0.48","-0.62","-0.64","0.01","0.23","-0.69",""
"08/07/2020","-0.49","-0.62","-0.65","-0.01","0.24","-0.74",""
"08/14/2020","-0.51","-0.63","-0.65","-0.03","0.25","-0.79",""
"08/21/2020","-0.51","-0.65","-0.65","-0.04","0.27","-0.85",""
"08/28/2020","-0.51","-0.68","-0.65","-0.05","0.29","-0.91",""
"09/04/2020","-0.51","-0.72","-0.64","-0.05","0.31","-0.98",""
"09/11/2020","-0.5","-0.76","-0.64","-0.05","0.33","-1.05",""
"09/18/2020","-0.49","-0.78","-0.63","-0.04","0.35","-1.13",""
"09/25/2020","-0.49","-0.77","-0.63","-0.03","0.36","-1.2",""
"10/02/2020","-0.48","-0.75","-0.62","-0.03","0.38","-1.28","2.06"
"10/09/2020","-0.48","-0.71","-0.62","-0.03","0.39","-1.36",""
"10/16/2020","-0.48","-0.67","-0.62","-0.03","0.39","-1.44",""
"10/23/2020","-0.49","-0.65","-0.62","-0.04","0.39","-1.51",""
"10/30/2020","-0.49","-0.63","-0.63","-0.04","0.38","-1.57",""
"11/06/2020","-0.51","-0.62","-0.64","-0.05","0.36","-1.63",""
"11/13/2020","-0.53","-0.62","-0.66","-0.06","0.34","-1.69",""
"11/20/2020","-0.54","-0.61","-0.68","-0.08","0.31","-1.73",""
"11/27/2020","-0.56","-0.6","-0.69","-0.09","0.28","-1.76",""
"12/04/2020","-0.57","-0.58","-0.7","-0.09","0.26","-1.79",""
"12/11/2020","-0.58","-0.57","-0.71","-0.1","0.23","-1.81",""
"12/18/2020","-0.59","-0.56","-0.72","-0.11","0.2","-1.82",""
"12/25/2020","-0.6","-0.56","-0.72","-0.12","0.18","-1.82",""
"01/01/2021","-0.6","-0.56","-0.72","-0.13","0.15","-1.82","0.51"
"01/08/2021","-0.61","-0.57","-0.72","-0.14","0.13","-1.82",""
"01/15/2021","-0.61","-0.57","-0.72","-0.14","0.1","-1.8",""
"01/22/2021","-0.62","-0.58","-0.72","-0.15","0.06","-1.79",""
"01/29/2021","-0.62","-0.59","-0.71","-0.15","0.02","-1.77",""
"02/05/2021","-0.62","-0.61","-0.7","-0.16","-0.02","-1.76",""
"02/12/2021","-0.62","-0.62","-0.69","-0.16","-0.07","-1.74",""
"02/19/2021","-0.62","-0.64","-0.69","-0.16","-0.13","-1.72",""
"02/26/2021","-0.63","-0.65","-0.68","-0.16","-0.18","-1.71",""
"03/05/2021","-0.63","-0.65","-0.68","-0.16","-0.23","-1.69",""
"03/12/2021","-0.64","-0.65","-0.68","-0.17","-0.27","-1.68",""
"03/19/2021","-0.64","-0.65","-0.68","-0.17","-0.3","-1.67",""
"03/26/2021","-0.65","-0.65","-0.69","-0.18","-0.33","-1.66",""
"04/02/2021","-0.65","-0.65","-0.69","-0.18","-0.34","-1.65","0.29"
"04/09/2021","-0.66","-0.66","-0.7","-0.19","-0.34","-1.64",""
"04/16/2021","-0.67","-0.66","-0.71","-0.2","-0.34","-1.64",""
"04/23/2021","-0.68","-0.66","-0.72","-0.21","-0.34","-1.64",""
"04/30/2021","-0.68","-0.66","-0.72","-0.21","-0.34","-1.63",""
"05/07/2021","-0.69","-0.66","-0.73","-0.21","-0.33","-1.64",""
"05/14/2021","-0.69","-0.66","-0.74","-0.21","-0.33","-1.64",""
"05/21/2021","-0.7","-0.66","-0.75","-0.21","-0.33","-1.64",""
"05/28/2021","-0.7","-0.67","-0.76","-0.21","-0.32","-1.64",""
"06/04/2021","-0.7","-0.68","-0.77","-0.2","-0.31","-1.64",""
"06/11/2021","-0.7","-0.69","-0.77","-0.2","-0.29","-1.64",""
"06/18/2021","-0.7","-0.7","-0.78","-0.19","-0.26","-1.65",""
"06/25/2021","-0.69","-0.7","-0.78","-0.19","-0.23","-1.65",""
"07/02/2021","-0.69","-0.7","-0.77","-0.18","-0.19","-1.65","0.01"
"07/09/2021","-0.68","-0.7","-0.77","-0.18","-0.15","-1.64",""
"07/16/2021","-0.67","-0.7","-0.76","-0.18","-0.12","-1.64",""
"07/23/2021","-0.66","-0.7","-0.76","-0.17","-0.09","-1.64",""
"07/30/2021","-0.65","-0.69","-0.75","-0.17","-0.06","-1.63",""
"08/06/2021","-0.65","-0.69","-0.75","-0.16","-0.05","-1.62",""
"08/13/2021","-0.64","-0.69","-0.75","-0.16","-0.04","-1.61",""
"08/20/2021","-0.64","-0.69","-0.74","-0.16","-0.04","-1.59",""
"08/27/2021","-0.64","-0.71","-0.74","-0.16","-0.05","-1.58",""
"09/03/2021","-0.64","-0.72","-0.74","-0.16","-0.07","-1.56",""
"09/10/2021","-0.64","-0.74","-0.74","-0.16","-0.09","-1.55",""
"09/17/2021","-0.65","-0.75","-0.74","-0.16","-0.12","-1.53",""
"09/24/2021","-0.65","-0.75","-0.74","-0.16","-0.14","-1.51",""
"10/01/2021","-0.65","-0.74","-0.73","-0.16","-0.17","-1.48","-0.03"
"10/08/2021","-0.65","-0.74","-0.73","-0.16","-0.19","-1.46",""
"10/15/2021","-0.65","-0.73","-0.72","-0.16","-0.21","-1.44",""
"10/22/2021","-0.64","-0.72","-0.7","-0.15","-0.22","-1.42",""
"10/29/2021","-0.63","-0.7","-0.68","-0.15","-0.21","-1.4",""
"11/05/2021","-0.61","-0.68","-0.66","-0.14","-0.2","-1.39",""
"11/12/2021","-0.59","-0.65","-0.63","-0.13","-0.19","-1.37",""
"11/19/2021","-0.56","-0.61","-0.61","-0.12","-0.17","-1.36",""
"11/26/2021","-0.55","-0.58","-0.59","-0.11","-0.15","-1.35",""
"12/03/2021","-0.53","-0.57","-0.58","-0.1","-0.14","-1.33",""
"12/10/2021","-0.53","-0.56","-0.58","-0.1","-0.13","-1.33",""
"12/17/2021","-0.53","-0.57","-0.59","-0.1","-0.12","-1.32",""
"12/24/2021","-0.54","-0.59","-0.59","-0.1","-0.13","-1.31",""
"12/31/2021","-0.55","-0.6","-0.6","-0.1","-0.14","-1.31","-0.2"
